"rownames(output.data)"	"dprime"	"dprime.hosei"	"degree"	"degree.st"	"betweenness"	"class"	"individuals"
"H_0343_Diptera_Empididae"	0.157401125925485	0.842598874074515	1	0.0064	0	"prey"	1
"H_0361_Hymenoptera_Braconidae"	0	1	1	0.0064	0	"prey"	1
"H_0364_Diptera_Diptera"	0.00421550290960197	0.995784497090398	2	0.0127	0.0205	"prey"	2
"H_0368_Diptera_Megaselia"	0.0433574089403447	0.956642591059655	1	0.0064	0	"prey"	1
"H_0381_Diptera_Diptera"	0.00815322054885075	0.991846779451149	1	0.0064	0	"prey"	1
"H_0398_Hemiptera_Aphididae"	0.0500211909937367	0.949978809006263	3	0.0191	0.0854	"prey"	3
"H_0403_Diptera_Cecidomyiidae"	0.805040978106214	0.194959021893786	1	0.0064	0	"prey"	1
"H_0408_Diptera_Diptera"	0.0836068700805081	0.916393129919492	1	0.0064	0	"prey"	1
"H_0421_Diptera_Bradysia"	0.0109291248798141	0.989070875120186	4	0.0255	0.0998	"prey"	4
"H_0422_Diptera_Sciaridae"	0.157401125925485	0.842598874074515	1	0.0064	0	"prey"	1
"H_0438_Diptera_Dicranomyia"	0.0836068700805081	0.916393129919492	1	0.0064	0	"prey"	1
"H_0448_Diptera_Boletina"	0.203145172377205	0.796854827622795	4	0.0255	0.056	"prey"	5
"H_0464_Diptera_Cecidomyiidae"	0.00815322054885075	0.991846779451149	1	0.0064	0	"prey"	1
"H_0475_Diptera_Cecidomyiidae"	0.00815322054885075	0.991846779451149	1	0.0064	0	"prey"	1
"H_0479_Hemiptera_Hyperomyzus.carduellinus"	0.0165498564431084	0.983450143556892	1	0.0064	0	"prey"	1
"H_0490_Hymenoptera_Hymenoptera"	0	1	1	0.0064	0	"prey"	1
"H_0500_Diptera_Cecidomyiidae"	0.690997261121074	0.309002738878926	1	0.0064	0	"prey"	1
"H_0537_Hymenoptera_Xyela"	0.0165498564431084	0.983450143556892	1	0.0064	0	"prey"	1
"H_0541_Diptera_Cecidomyiidae"	0.610081956212427	0.389918043787573	1	0.0064	0	"prey"	1
"H_0548_Diptera_Diptera"	0.00815322054885075	0.991846779451149	1	0.0064	0	"prey"	1
"H_0550_Diptera_Cricotopus"	0.00815322054885075	0.991846779451149	1	0.0064	0	"prey"	1
"H_0551_Diptera_Empididae"	0.00815322054885075	0.991846779451149	1	0.0064	0	"prey"	1
"H_0566_Diptera_Megaselia"	0.0836068700805081	0.916393129919492	1	0.0064	0	"prey"	1
"H_0580_Diptera_Diptera"	0.00815322054885075	0.991846779451149	1	0.0064	0	"prey"	1
"H_0595_Diptera_Mycetophilidae"	0	1	1	0.0064	0	"prey"	1
"H_0610_Hymenoptera_Hymenoptera"	0	1	1	0.0064	0	"prey"	1
"H_0615_Diptera_Aprionus"	0.689732421121195	0.310267578878805	2	0.0127	0.0365	"prey"	2
"H_0624_Diptera_Sciaridae"	0.0173456301100983	0.982654369889902	3	0.0191	0.0389	"prey"	3
"H_0631_Diptera_Sciaridae"	0.610081956212427	0.389918043787573	1	0.0064	0	"prey"	1
"H_0658_Diptera_Cecidomyiidae"	0.690997261121074	0.309002738878926	1	0.0064	0	"prey"	1
"H_0659_Diptera_Diptera"	0.00815322054885075	0.991846779451149	1	0.0064	0	"prey"	1
"H_0668_Diptera_Chironomidae"	0.157401125925485	0.842598874074515	1	0.0064	0	"prey"	1
"H_0715_Hymenoptera_Eulophidae"	0.00815322054885075	0.991846779451149	1	0.0064	0	"prey"	1
