node_id	sp_name
250	H_0223_Hemiptera_Cicadellidae
251	H_0224_Diptera_Cecidomyiidae
252	H_0225_Hymenoptera_Eulophidae
253	H_0226_Hemiptera_Aphididae
254	H_0227_Hemiptera_Cicadellidae
255	H_0228_Diptera_Diptera
256	H_0229_Orthoptera_Tettigoniidae
257	H_0230_Diptera_Diptera
258	H_0231_Diptera_Cecidomyiidae
259	H_0232_Coleoptera_Chrysomelidae
260	H_0234_Diptera_Diptera
261	H_0235_Diptera_Diptera
262	H_0236_Diptera_Diptera
263	H_0237_Hymenoptera_Pheidole
264	H_0238_Hemiptera_Hemiptera
265	H_0239_Diptera_Cecidomyiidae
266	H_0240_Lepidoptera_Lepidoptera
267	H_0241_Diptera_Diptera
268	H_0243_Coleoptera_Coleoptera
269	H_0244_Hymenoptera_Formicidae
270	H_0245_Diptera_Diptera
271	H_0246_Diptera_Diptera
272	H_0247_Diptera_Cecidomyiidae
273	H_0248_Diptera_Cecidomyiidae
274	H_0249_Lepidoptera_Erebidae
275	H_0250_Hymenoptera_Eurytomidae
276	H_0251_Lepidoptera_Inurois
277	H_0252_Hymenoptera_Lasius
278	H_0253_Diptera_Syrphidae
279	H_0254_Diptera_Cecidomyiidae
280	H_0255_Hymenoptera_Formica
281	H_0256_Diptera_Minettia
282	H_0257_Diptera_Diptera
283	H_0258_Hemiptera_Aphididae
284	H_0259_Diptera_Cecidomyiidae
285	H_0261_Collembola_Tomocerus
286	H_0262_Hemiptera_Hemiptera
287	H_0264_Diptera_Aplomya
288	H_0265_Coleoptera_Scymnus
289	H_0266_Diptera_Cecidomyiidae
290	H_0267_Coleoptera_Curculionidae
291	H_0268_Hemiptera_Aphis
292	H_0269_Hemiptera_Bemisia
293	H_0270_Diptera_Chrysotus
294	H_0271_Diptera_Diptera
295	H_0272_Diptera_Tipulidae
296	H_0273_Hemiptera_Hemiptera
297	H_0274_Diptera_Diptera
298	H_0275_Diptera_Cecidomyiidae
299	H_0276_Diptera_Diptera
300	H_0277_Diptera_Bradysia
301	H_0278_Diptera_Sciara
302	H_0279_Hymenoptera_Aphidius
303	H_0280_Hemiptera_Delphacidae
304	H_0281_Hymenoptera_Hymenoptera
305	H_0282_Diptera_Sciaridae
306	H_0283_Diptera_Diptera
307	H_0285_Diptera_Cecidomyiidae
308	H_0286_Lithobiomorpha_Lithobiidae
309	H_0287_Diptera_Mycetophilidae
310	H_0288_Diptera_Cecidomyiidae
311	H_0289_Diptera_Diptera
312	H_0290_Collembola_Homidia
313	H_0291_Diptera_Cecidomyiidae
314	H_0292_Diptera_Ephydridae
315	H_0293_Diptera_Ensina.sonchi
316	H_0294_Diptera_Cecidomyiidae
317	H_0295_Diptera_Diptera
318	H_0296_Diptera_Sciaridae
319	H_0298_Diptera_Megaselia
320	H_0299_Diptera_Bradysia
321	H_0301_Diptera_Diptera
322	H_0302_Lepidoptera_Mythimna
323	H_0305_Hemiptera_Riptortus.pedestris
324	H_0306_Diptera_Diptera
325	H_0307_Diptera_Cecidomyiidae
326	H_0308_Diptera_Diptera
327	H_0309_Hemiptera_Geisha.distinctissima
328	H_0310_Diptera_Megaselia
329	H_0312_Orthoptera_Acrididae
330	H_0313_Diptera_Diptera
331	H_0314_Hemiptera_Delphacidae
332	H_0315_Hymenoptera_Formicidae
333	H_0316_Hemiptera_Delphacidae
334	H_0317_Hemiptera_Cicadellidae
335	H_0318_Coleoptera_Coleoptera
336	H_0320_Hymenoptera_Ichneumonidae
337	H_0321_Diptera_Bradysia
338	H_0322_Diptera_Dolichopodidae
339	H_0323_Diptera_Dohrniphora
340	H_0324_Diptera_Drosophilidae
341	H_0325_Hemiptera_Hemiptera
342	H_0326_Diptera_Drosophilidae
343	H_0327_Diptera_Sciaridae
344	H_0328_Hymenoptera_Ichneumonidae
345	H_0329_Diptera_Diptera
346	H_0331_Diptera_Mycetophilidae
347	H_0332_Lepidoptera_Lepidoptera
348	H_0333_Diptera_Diptera
349	H_0334_Diptera_Diptera
350	H_0335_Diptera_Sciaridae
351	H_0336_Diptera_Bradysia
352	H_0337_Orthoptera_Loxoblemmus.equestris
