# v2.0.0
# ./Infomap prey.id.prey.matrix.agg.4.txt_adj.txt . --clu --ftree
# started at 2022-01-24 12:15:29
# completed in 0.2801 s
# partitioned into 3 levels with 961 top modules
# codelength 4.54776 bits
# relative codelength savings 24.8242%
# module level 1
# node_id module flow
117 94 0
119 95 0
120 96 0
121 97 0
122 98 0
123 99 0
124 100 0
125 101 0
126 102 0
127 103 0
129 104 0
130 105 0
132 106 0
133 107 0
134 108 0
135 109 0
136 110 0
137 111 0
140 112 0
141 113 0
145 114 0
147 115 0
149 116 0
150 117 0
151 118 0
152 119 0
155 120 0
156 121 0
157 122 0
158 123 0
159 124 0
160 125 0
163 126 0
164 127 0
167 128 0
169 129 0
170 130 0
171 131 0
172 132 0
173 133 0
174 134 0
175 135 0
178 136 0
179 137 0
180 138 0
181 139 0
183 140 0
186 141 0
187 142 0
188 143 0
189 144 0
191 145 0
192 146 0
193 147 0
196 148 0
197 149 0
199 150 0
200 151 0
201 152 0
203 153 0
204 154 0
205 155 0
206 156 0
207 157 0
208 158 0
209 159 0
210 160 0
212 161 0
214 162 0
215 163 0
216 164 0
217 165 0
221 166 0
223 167 0
224 168 0
227 169 0
229 170 0
230 171 0
231 172 0
233 173 0
234 174 0
235 175 0
236 176 0
237 177 0
238 178 0
239 179 0
241 180 0
242 181 0
243 182 0
244 183 0
245 184 0
246 185 0
247 186 0
250 187 0
251 188 0
252 189 0
254 190 0
255 191 0
256 192 0
257 193 0
258 194 0
259 195 0
260 196 0
262 197 0
263 198 0
265 199 0
266 200 0
267 201 0
268 202 0
269 203 0
271 204 0
273 205 0
274 206 0
275 207 0
277 208 0
278 209 0
279 210 0
280 211 0
282 212 0
283 213 0
285 214 0
286 215 0
287 216 0
288 217 0
289 218 0
290 219 0
291 220 0
292 221 0
293 222 0
294 223 0
295 224 0
296 225 0
297 226 0
298 227 0
299 228 0
300 229 0
301 230 0
302 231 0
303 232 0
304 233 0
306 234 0
307 235 0
308 236 0
309 237 0
310 238 0
311 239 0
312 240 0
313 241 0
314 242 0
316 243 0
317 244 0
318 245 0
319 246 0
321 247 0
322 248 0
323 249 0
325 250 0
327 251 0
328 252 0
329 253 0
330 254 0
331 255 0
332 256 0
333 257 0
334 258 0
335 259 0
336 260 0
338 261 0
339 262 0
340 263 0
344 264 0
345 265 0
347 266 0
348 267 0
350 268 0
352 269 0
353 270 0
354 271 0
355 272 0
358 273 0
359 274 0
360 275 0
361 276 0
362 277 0
363 278 0
364 279 0
365 280 0
366 281 0
367 282 0
368 283 0
369 284 0
370 285 0
371 286 0
372 287 0
374 288 0
375 289 0
377 290 0
378 291 0
379 292 0
381 293 0
382 294 0
383 295 0
384 296 0
385 297 0
386 298 0
387 299 0
388 300 0
389 301 0
390 302 0
391 303 0
393 304 0
394 305 0
395 306 0
396 307 0
397 308 0
398 309 0
399 310 0
400 311 0
401 312 0
402 313 0
403 314 0
404 315 0
405 316 0
406 317 0
408 318 0
409 319 0
410 320 0
412 321 0
413 322 0
414 323 0
415 324 0
417 325 0
418 326 0
419 327 0
420 328 0
421 329 0
422 330 0
423 331 0
424 332 0
425 333 0
426 334 0
429 335 0
430 336 0
431 337 0
432 338 0
433 339 0
434 340 0
435 341 0
436 342 0
437 343 0
438 344 0
439 345 0
441 346 0
442 347 0
443 348 0
444 349 0
445 350 0
446 351 0
447 352 0
448 353 0
450 354 0
451 355 0
452 356 0
453 357 0
454 358 0
455 359 0
456 360 0
457 361 0
458 362 0
459 363 0
460 364 0
461 365 0
462 366 0
464 367 0
465 368 0
466 369 0
467 370 0
468 371 0
469 372 0
470 373 0
471 374 0
472 375 0
473 376 0
475 377 0
476 378 0
477 379 0
479 380 0
480 381 0
481 382 0
482 383 0
483 384 0
484 385 0
485 386 0
486 387 0
487 388 0
489 389 0
490 390 0
491 391 0
492 392 0
493 393 0
494 394 0
495 395 0
496 396 0
498 397 0
499 398 0
500 399 0
501 400 0
502 401 0
503 402 0
504 403 0
505 404 0
506 405 0
507 406 0
508 407 0
509 408 0
510 409 0
511 410 0
512 411 0
513 412 0
514 413 0
515 414 0
516 415 0
517 416 0
518 417 0
519 418 0
520 419 0
521 420 0
522 421 0
523 422 0
524 423 0
525 424 0
526 425 0
527 426 0
528 427 0
529 428 0
530 429 0
531 430 0
532 431 0
534 432 0
535 433 0
536 434 0
538 435 0
539 436 0
540 437 0
541 438 0
542 439 0
544 440 0
547 441 0
548 442 0
549 443 0
550 444 0
551 445 0
552 446 0
553 447 0
554 448 0
555 449 0
556 450 0
557 451 0
558 452 0
559 453 0
561 454 0
562 455 0
563 456 0
564 457 0
565 458 0
566 459 0
567 460 0
568 461 0
569 462 0
571 463 0
572 464 0
573 465 0
574 466 0
575 467 0
576 468 0
577 469 0
578 470 0
579 471 0
580 472 0
581 473 0
583 474 0
584 475 0
585 476 0
586 477 0
587 478 0
588 479 0
589 480 0
590 481 0
591 482 0
592 483 0
593 484 0
594 485 0
596 486 0
597 487 0
598 488 0
599 489 0
601 490 0
602 491 0
603 492 0
604 493 0
605 494 0
606 495 0
608 496 0
609 497 0
