"node_id"	"sp_name"	"module"	"flow"	"diet.set"
628	"H_0651_Hymenoptera_Formica"	3	0.000541712	"predatory/parasitic"
631	"H_0655_Diptera_Cecidomyiidae"	5	0.000541712	"variable"
642	"H_0666_Diptera_Cecidomyiidae"	2	0.00379198	"variable"
646	"H_0671_Diptera_Cecidomyiidae"	2	0.000541712	"variable"
649	"H_0674_Diptera_Dolichosciara"	3	0.000541712	"detritivorous"
651	"H_0676_Orthoptera_Gryllidae"	3	0.00108342	"variable"
652	"H_0677_Diptera_Diptera"	2	0.00108342	"unidentified"
662	"H_0687_Lepidoptera_Lepidoptera"	2	0.000541712	"unidentified"
663	"H_0688_Orthoptera_Loxoblemmus.equestris"	2	0.00108342	"variable"
668	"H_0695_Lepidoptera_Lepidoptera"	8	0.00162514	"unidentified"
672	"H_0701_Lepidoptera_Lepidoptera"	2	0.000541712	"unidentified"
675	"H_0707_Diptera_Diptera"	2	0.000541712	"unidentified"
686	"H_0718_Hymenoptera_Trichogramma"	3	0.000541712	"predatory/parasitic"
687	"H_0719_Diptera_Tipulidae"	1	0.000541712	"herbivorous"
696	"H_0728_Lepidoptera_Lepidoptera"	1	0.000541712	"unidentified"
707	"H_0742_Diptera_Cecidomyiidae"	2	0.000541712	"variable"
716	"H_0751_Hemiptera_Cicadellidae"	1	0.00108342	"herbivorous"
717	"H_0752_Diptera_Diptera"	1	0.000541712	"unidentified"
724	"H_0760_Hemiptera_Cicadellidae"	2	0.00108342	"herbivorous"
725	"H_0762_Diptera_Sciaridae"	2	0.000541712	"detritivorous"
728	"H_0766_Coleoptera_Coleoptera"	3	0.000541712	"unidentified"
738	"H_0781_Collembola_Collembola"	4	0.000541712	"unidentified"
739	"H_0782_Diptera_Diptera"	3	0.000541712	"unidentified"
743	"H_0790_Hemiptera_Geocoris"	1	0.000541712	"variable"
744	"H_0791_Lepidoptera_Lepidoptera"	3	0.000541712	"unidentified"
745	"H_0792_Diptera_Diptera"	3	0.000541712	"unidentified"
746	"H_0793_Diptera_Chironomidae"	4	0.00162514	"detritivorous"
752	"H_0799_Hemiptera_Aphididae"	2	0.000541712	"herbivorous"
759	"H_0806_Hemiptera_Bemisia.tabaci"	3	0.00108342	"herbivorous"
760	"H_0807_Lepidoptera_Mythimna.separata"	2	0.000541712	"herbivorous"
762	"H_0810_Diptera_Culicoides"	1	0.000541712	"predatory/parasitic"
765	"H_0813_Hemiptera_Issidae"	2	0.000541712	"herbivorous"
766	"H_0814_Diptera_Diptera"	3	0.00108342	"unidentified"
767	"H_0815_Lepidoptera_Lepidoptera"	1	0.000541712	"unidentified"
784	"H_0834_Diptera_Cecidomyiidae"	3	0.00108342	"variable"
786	"H_0836_Diptera_Culicidae"	2	0.000541712	"predatory/parasitic"
808	"H_0864_Diptera_Diptera"	2	0.000541712	"unidentified"
810	"H_0866_Diptera_Chrysotus"	3	0.000541712	"variable"
813	"H_0870_Lepidoptera_Lepidoptera"	5	0.000541712	"unidentified"
814	"H_0871_Diptera_Cecidomyiidae"	1	0.000541712	"variable"
816	"H_0873_Diptera_Diptera"	3	0.000541712	"unidentified"
826	"H_0884_Diptera_Cecidomyiidae"	1	0.000541712	"variable"
829	"H_0888_Orthoptera_Gryllidae"	3	0.000541712	"variable"
832	"H_0893_Diptera_Cecidomyiidae"	5	0.000541712	"variable"
842	"H_0905_Diptera_Drosophilidae"	1	0.000541712	"variable"
845	"H_0908_Lepidoptera_Ctenoplusia"	3	0.00108342	"herbivorous"
857	"H_0920_Hemiptera_Laodelphax.striatellus"	1	0.00162514	"herbivorous"
858	"H_0921_Diptera_Cecidomyiidae"	4	0.000541712	"variable"
859	"H_0922_Orthoptera_Dianemobius"	1	0.00162514	"variable"
860	"H_0923_Diptera_Tipulidae"	1	0.000541712	"herbivorous"
861	"H_0924_Coleoptera_Chrysomelidae"	3	0.000541712	"herbivorous"
863	"H_0926_Hymenoptera_Formicidae"	3	0.000541712	"predatory/parasitic"
864	"H_0927_Diptera_Cecidomyiidae"	3	0.000541712	"variable"
865	"H_0928_Orthoptera_Gryllidae"	3	0.000541712	"variable"
866	"H_0929_Coleoptera_Chrysomelidae"	3	0.000541712	"herbivorous"
868	"H_0932_Diptera_Cecidomyiidae"	2	0.000541712	"variable"
879	"H_0945_Diptera_Cecidomyiidae"	6	0.000541712	"variable"
882	"H_0948_Diptera_Cecidomyiidae"	11	0.000541712	"variable"
886	"H_0952_Diptera_Phoridae"	2	0.000541712	"variable"
893	"H_0960_Hemiptera_Aphididae"	2	0.00433369	"herbivorous"
896	"H_0967_Diptera_Cecidomyiidae"	3	0.000541712	"variable"
897	"H_0968_Hemiptera_Cicadellidae"	3	0.000541712	"herbivorous"
899	"H_0970_Diptera_Cecidomyiidae"	1	0.000541712	"variable"
902	"H_0973_Hemiptera_Cicadellidae"	4	0.000541712	"herbivorous"
905	"H_0977_Orthoptera_Velarifictorus.ornatus"	1	0.00162514	"variable"
906	"H_0978_Diptera_Cecidomyiidae"	1	0.000541712	"variable"
907	"H_0979_Diptera_Sciaridae"	1	0.000541712	"detritivorous"
908	"H_0980_Diptera_Dolichopus"	1	0.000541712	"variable"
913	"H_0986_Diptera_Chironomidae"	3	0.000541712	"detritivorous"
920	"H_0995_Lepidoptera_Spodoptera"	1	0.000541712	"herbivorous"
921	"H_0996_Hymenoptera_Ceraphronidae"	1	0.000541712	"predatory/parasitic"
922	"H_0997_Lepidoptera_Helicoverpa"	1	0.000541712	"herbivorous"
923	"H_0998_Diptera_Sciara"	2	0.000541712	"detritivorous"
924	"H_1000_Diptera_Limoniidae"	1	0.000541712	"variable"
928	"H_1005_Lepidoptera_Crambidae"	1	0.000541712	"herbivorous"
933	"H_1012_Coleoptera_Coleoptera"	1	0.000541712	"unidentified"
953	"H_1039_Orthoptera_Loxoblemmus"	2	0.000541712	"variable"
955	"H_1041_Diptera_Chrysotus"	1	0.000541712	"variable"
956	"H_1042_Lepidoptera_Lepidoptera"	1	0.000541712	"unidentified"
957	"H_1043_Lepidoptera_Noctuidae"	2	0.00108342	"herbivorous"
958	"H_1044_Diptera_Diptera"	1	0.000541712	"unidentified"
961	"H_1049_Diptera_Cecidomyiidae"	1	0.000541712	"variable"
975	"H_1064_Diptera_Corynoptera"	2	0.000541712	"detritivorous"
976	"H_1065_Diptera_Sciaridae"	1	0.000541712	"detritivorous"
978	"H_1067_Hemiptera_Sphedanolestes"	2	0.000541712	"predatory/parasitic"
981	"H_1072_Orthoptera_Tettigoniidae"	2	0.000541712	"variable"
982	"H_1073_Lepidoptera_Geometridae"	2	0.000541712	"herbivorous"
1010	"H_1110_Coleoptera_Chrysomelidae"	3	0.000541712	"herbivorous"
1012	"H_1114_Lepidoptera_Noctuidae"	3	0.000541712	"herbivorous"
1025	"H_1133_Lepidoptera_Lepidoptera"	3	0.000541712	"unidentified"
1044	"H_1155_Lepidoptera_Lepidoptera"	3	0.000541712	"unidentified"
1069	"H_1185_Coleoptera_Coleoptera"	3	0.000541712	"unidentified"
1077	"H_1194_Orthoptera_Conocephalus.maculatus"	2	0.00216685	"variable"
